,Character,Frequency
0,W,523
1,A,989
2,L,768
3,C,524
4,E,617
5, ,19490
6,G,78
7,o,6600
8,d,2953
9,e,9822
10,v,902
11,n,5285
12,i,4989
13,g,1562
14,F,45
15,r,3912
16,m,1624
17,t,7545
18,h,4092
19,H,169
20,a,5947
21,l,3151
22,u,2628
23,c,1900
24,p,1517
25,s,4343
26,f,1189
27,R,549
28,U,402
29,y,1956
30,I,864
31,',853
32,x,129
33,N,419
34,w,1731
35,2,55
36,0,189
37,b,1213
38,P,528
39,D,387
40,J,45
41,.,2156
42,T,845
43,V,66
44,B,445
45,"
",2448
46,:,934
47,",",1154
48,1,67
49,5,34
50,-,1049
51,q,83
52,k,689
53,(,189
54,S,406
55,),189
56,?,147
57,M,456
58,O,270
59,j,133
60,Y,142
61,;,20
62,K,180
63,8,18
64,3,28
65,7,19
66,9,17
67,%,1
68,4,20
69,z,23
70,"""",18
71,X,2
72,_,1
73,$,31
74,6,4
75,!,2
76,/,1
